nm, Ga, In
0, 2.78458, 97.2154
0.099086, 0, 100
0.198172, 5.43144, 94.5686
0.297258, 13.1875, 86.8125
0.396344, 1.73248, 98.2675
0.49543, 2.03219, 97.9678
0.594516, 0, 100
0.693602, 8.79615, 91.2038
0.792688, 0.507206, 99.4928
0.891774, 6.93448, 93.0655
0.99086, 8.42463, 91.5754
1.08995, 5.12488, 94.8751
1.18903, 3.37185, 96.6282
1.28812, 0, 100
1.3872, 0.199846, 99.8002
1.48629, 5.11054, 94.8895
1.58538, 0, 100
1.68446, 4.50454, 95.4955
1.78355, 2.63222, 97.3678
1.88263, 10.2487, 89.7513
1.98172, 13.493, 86.507
2.08081, 11.7823, 88.2177
2.17989, 0, 100
2.27898, 5.36515, 94.6348
2.37806, 8.21062, 91.7894
2.47715, 2.85409, 97.1459
2.57624, 17.6468, 82.3532
2.67532, 16.0528, 83.9472
2.77441, 13.2236, 86.7764
2.87349, 21.0194, 78.9806
2.97258, 9.62002, 90.38
3.07167, 1.73245, 98.2676
3.17075, 2.85142, 97.1486
3.26984, 17.915, 82.085
3.36892, 14.191, 85.809
3.46801, 5.47511, 94.5249
3.5671, 6.1661, 93.8339
3.66618, 17.3608, 82.6392
3.76527, 9.49213, 90.5079
3.86435, 5.18015, 94.8198
3.96344, 14.2741, 85.7259
4.06253, 16.1332, 83.8668
4.16161, 4.93561, 95.0644
4.2607, 15.3838, 84.6162
4.35978, 10.3408, 89.6592
4.45887, 17.1593, 82.8407
4.55796, 12.6822, 87.3178
4.65704, 12.9504, 87.0496
4.75613, 11.3776, 88.6224
4.85521, 8.726, 91.274
4.9543, 7.86072, 92.1393
5.05339, 8.44281, 91.5572
5.15247, 10.8422, 89.1578
5.25156, 14.3269, 85.6731
5.35064, 11.0861, 88.9139
5.44973, 12.5291, 87.4709
5.54882, 18.5986, 81.4014
5.6479, 17.0043, 82.9957
5.74699, 14.1386, 85.8614
5.84607, 11.7436, 88.2564
5.94516, 20.7245, 79.2755
6.04425, 30.085, 69.915
6.14333, 16.383, 83.617
6.24242, 34.5378, 65.4622
6.3415, 26.3125, 73.6875
6.44059, 33.0372, 66.9628
6.53968, 38.6543, 61.3457
6.63876, 24.4667, 75.5333
6.73785, 30.9171, 69.0829
6.83693, 32.9671, 67.0329
6.93602, 16.2722, 83.7278
7.03511, 22.5229, 77.4771
7.13419, 24.0536, 75.9464
7.23328, 25.5366, 74.4634
7.33236, 41.0413, 58.9587
7.43145, 37.8354, 62.1646
7.53054, 43.1861, 56.8139
7.62962, 45.4521, 54.5479
7.72871, 42.7484, 57.2516
7.82779, 30.4398, 69.5602
7.92688, 46.9392, 53.0608
8.02597, 39.0541, 60.9459
8.12505, 36.5407, 63.4593
8.22414, 36.982, 63.018
8.32322, 27.6019, 72.3981
