nm, P, As
0, 85.3195, 14.6805
0.099086, 84.4672, 15.5328
0.198172, 77.5075, 22.4925
0.297258, 82.1936, 17.8064
0.396344, 78.5951, 21.4049
0.49543, 91.494, 8.506
0.594516, 87.5548, 12.4451
0.693602, 79.346, 20.654
0.792688, 68.8851, 31.1149
0.891774, 74.2792, 25.7208
0.99086, 77.2248, 22.7752
1.08995, 65.786, 34.214
1.18903, 76.1992, 23.8008
1.28812, 81.0712, 18.9288
1.3872, 89.2069, 10.7931
1.48629, 79.8138, 20.1862
1.58538, 83.746, 16.254
1.68446, 78.6425, 21.3575
1.78355, 80.3208, 19.6792
1.88263, 82.2062, 17.7938
1.98172, 69.0338, 30.9662
2.08081, 79.5491, 20.4509
2.17989, 80.1955, 19.8045
2.27898, 83.7817, 16.2183
2.37806, 82.516, 17.484
2.47715, 82.5246, 17.4754
2.57624, 84.1692, 15.8308
2.67532, 76.2818, 23.7182
2.77441, 80.1213, 19.8787
2.87349, 86.5916, 13.4084
2.97258, 75.2918, 24.7082
3.07167, 83.7878, 16.2122
3.17075, 80.5768, 19.4232
3.26984, 75.1534, 24.8466
3.36892, 85.0393, 14.9607
3.46801, 69.8173, 30.1827
3.5671, 76.4088, 23.5912
3.66618, 79.2447, 20.7553
3.76527, 84.5306, 15.4694
3.86435, 80.3446, 19.6554
3.96344, 79.6965, 20.3035
4.06253, 85.8996, 14.1004
4.16161, 73.9191, 26.0809
4.2607, 75.1651, 24.8349
4.35978, 77.5311, 22.4689
4.45887, 75.5977, 24.4023
4.55796, 78.1382, 21.8618
4.65704, 57.71, 42.29
4.75613, 51.4025, 48.5975
4.85521, 61.6251, 38.3749
4.9543, 74.6616, 25.3384
5.05339, 73.5332, 26.4668
5.15247, 62.2226, 37.7774
5.25156, 68.6144, 31.3856
5.35064, 63.2967, 36.7033
5.44973, 77.4922, 22.5078
5.54882, 62.547, 37.453
5.6479, 66.0886, 33.9114
5.74699, 67.8147, 32.1853
5.84607, 50.4135, 49.5865
5.94516, 60.1622, 39.8378
6.04425, 48.3457, 51.6543
6.14333, 49.3957, 50.6043
6.24242, 35.6745, 64.3255
6.3415, 43.2008, 56.7992
6.44059, 34.515, 65.485
6.53968, 29.2233, 70.7767
6.63876, 34.1211, 65.8789
6.73785, 28.9203, 71.0797
6.83693, 32.0112, 67.9888
6.93602, 25.7128, 74.2872
7.03511, 22.2624, 77.7376
7.13419, 24.2377, 75.7623
7.23328, 29.7345, 70.2655
7.33236, 18.1533, 81.8467
7.43145, 17.3433, 82.6568
7.53054, 17.3257, 82.6743
7.62962, 26.4428, 73.5572
7.72871, 25.3185, 74.6815
7.82779, 13.6322, 86.3678
7.92688, 22.1305, 77.8695
8.02597, 28.4137, 71.5863
8.12505, 7.10406, 92.8959
8.22414, 24.9489, 75.0511
8.32322, 17.6581, 82.3419
8.42231, 21.4088, 78.5912
8.5214, 16.168, 83.832
8.62048, 11.2128, 88.7872
8.71957, 17.4311, 82.5689
8.81865, 16.5631, 83.4369
8.91774, 14.8045, 85.1955
9.01683, 5.73532, 94.2647
9.11591, 20.8619, 79.1381
9.215, 12.4792, 87.5208
9.31408, 21.5091, 78.4909
9.41317, 24.3092, 75.6908
9.51226, 19.0588, 80.9412
9.61134, 22.0003, 77.9996
9.71043, 13.8018, 86.1982
9.80951, 13.3396, 86.6604
9.9086, 14.953, 85.047
10.0077, 13.577, 86.423
10.1068, 8.37581, 91.6242
10.2059, 10.6499, 89.3501
10.3049, 14.1965, 85.8035
10.404, 21.9828, 78.0172
10.5031, 6.34093, 93.6591
10.6022, 12.4821, 87.5179
10.7013, 16.7091, 83.2909
10.8004, 12.69, 87.31
10.8995, 17.1547, 82.8453
10.9985, 15.7691, 84.2309
11.0976, 7.68357, 92.3164
11.1967, 4.50792, 95.4921
11.2958, 12.7703, 87.2297
11.3949, 20.834, 79.166
11.494, 21.0571, 78.9429
11.5931, 24.8441, 75.1559
11.6921, 21.535, 78.465
11.7912, 16.1563, 83.8438
11.8903, 12.1708, 87.8292
11.9894, 14.2223, 85.7777
12.0885, 14.2095, 85.7905
12.1876, 15.0966, 84.9034
12.2867, 15.203, 84.797
12.3857, 11.3802, 88.6198
12.4848, 11.6448, 88.3552
12.5839, 18.1636, 81.8364
12.683, 6.07071, 93.9293
12.7821, 5.57544, 94.4246
12.8812, 10.0366, 89.9634
12.9803, 14.3228, 85.6772
13.0794, 18.7368, 81.2632
13.1784, 6.61811, 93.3819
13.2775, 17.109, 82.891
13.3766, 21.9891, 78.0109
13.4757, 15.4964, 84.5036
13.5748, 14.7108, 85.2892
13.6739, 14.0766, 85.9234
13.773, 31.0415, 68.9585
13.872, 1.60847, 98.3915
13.9711, 22.3455, 77.6545
14.0702, 22.4212, 77.5788
14.1693, 16.6004, 83.3996
14.2684, 15.3377, 84.6623
14.3675, 15.5939, 84.4061
14.4666, 16.918, 83.082
14.5656, 13.7511, 86.2489
14.6647, 16.7896, 83.2104
14.7638, 31.7263, 68.2737
14.8629, 39.1648, 60.8352
14.962, 18.8676, 81.1324
15.0611, 27.4541, 72.5459
15.1602, 34.9542, 65.0458
15.2592, 34.5246, 65.4754
15.3583, 38.7878, 61.2122
15.4574, 34.1297, 65.8704
15.5565, 50.0599, 49.9401
15.6556, 45.6263, 54.3737
15.7547, 39.2811, 60.7189
15.8538, 59.7406, 40.2594
15.9528, 37.8115, 62.1885
16.0519, 39.6814, 60.3186
16.151, 64.2491, 35.7509
16.2501, 55.1766, 44.8234
16.3492, 59.6243, 40.3757
16.4483, 57.2484, 42.7516
16.5474, 51.1431, 48.8569
16.6464, 55.6843, 44.3157
16.7455, 36.7483, 63.2517
16.8446, 47.8806, 52.1194
16.9437, 56.12, 43.88
17.0428, 48.8711, 51.1289
17.1419, 38.7449, 61.2551
17.241, 71.3363, 28.6637
17.34, 61.3932, 38.6068
17.4391, 58.1599, 41.8401
17.5382, 66.6716, 33.3284
17.6373, 52.8853, 47.1147
17.7364, 59.2379, 40.7621
17.8355, 58.7476, 41.2524
17.9346, 59.0038, 40.9962
18.0337, 56.4899, 43.5101
18.1327, 54.1016, 45.8984
18.2318, 66.5041, 33.4959
18.3309, 58.6365, 41.3635
18.43, 64.6799, 35.3201
18.5291, 74.7799, 25.2201
18.6282, 64.9983, 35.0017
18.7273, 74.5064, 25.4936
18.8263, 66.8422, 33.1578
18.9254, 66.5982, 33.4018
19.0245, 62.9446, 37.0554
19.1236, 56.7559, 43.2441
19.2227, 58.6815, 41.3185
19.3218, 62.0176, 37.9824
19.4209, 67.366, 32.634
19.5199, 71.5013, 28.4987
19.619, 71.1063, 28.8937
19.7181, 76.4105, 23.5895
19.8172, 57.6631, 42.3369
19.9163, 64.593, 35.407
20.0154, 69.9002, 30.0998
20.1145, 68.0581, 31.9419
20.2135, 60.3453, 39.6547
20.3126, 54.2692, 45.7308
20.4117, 62.7017, 37.2983
20.5108, 55.8001, 44.1999
20.6099, 62.0979, 37.9021
20.709, 68.942, 31.058
20.8081, 76.5906, 23.4094
