nm, Ga, In
0, 0, 100
0.522651, 40.268, 59.732
1.0453, 21.143, 78.857
1.56795, 7.30437, 92.6956
2.09061, 10.6346, 89.3654
2.61326, 9.59896, 90.401
3.13591, 8.21055, 91.7894
3.65856, 13.8059, 86.1941
4.18121, 8.35823, 91.6418
4.70386, 11.1564, 88.8436
5.22651, 21.6571, 78.3429
5.74917, 7.10643, 92.8936
6.27182, 6.05895, 93.9411
6.79447, 14.3234, 85.6766
7.31712, 11.6826, 88.3174
7.83977, 13.5974, 86.4026
8.36242, 20.565, 79.435
8.88507, 19.092, 80.908
9.40773, 3.28066, 96.7193
9.93038, 0, 100
10.453, 18.052, 81.948
10.9757, 18.7698, 81.2302
11.4983, 12.0409, 87.9591
12.021, 28.1474, 71.8526
12.5436, 17.6366, 82.3634
13.0663, 17.0557, 82.9443
13.5889, 7.20397, 92.796
14.1116, 10.141, 89.859
14.6342, 0.236678, 99.7633
15.1569, 17.0897, 82.9103
15.6795, 12.7171, 87.2829
16.2022, 15.2679, 84.7321
16.7248, 7.7371, 92.2629
17.2475, 13.5716, 86.4284
17.7701, 4.1408, 95.8592
18.2928, 38.5096, 61.4904
18.8155, 0, 100
19.3381, 31.8374, 68.1626
19.8608, 24.681, 75.319
20.3834, 11.9709, 88.0291
20.9061, 17.1773, 82.8227
21.4287, 1.02454, 98.9755
21.9514, 5.40727, 94.5927
22.474, 0, 100
22.9967, 22.5257, 77.4743
23.5193, 19.2536, 80.7464
24.042, 25.4022, 74.5978
24.5646, 31.0646, 68.9354
25.0873, 26.6161, 73.3839
25.6099, 29.3106, 70.6894
26.1326, 34.335, 65.665
26.6552, 40.4889, 59.5111
27.1779, 40.5458, 59.4542
27.7005, 49.457, 50.543
28.2232, 68.7672, 31.2329
28.7458, 57.7354, 42.2646
29.2685, 63.8629, 36.1371
29.7911, 61.8957, 38.1043
30.3138, 55.0188, 44.9812
30.8364, 63.1861, 36.8139
31.3591, 47.7051, 52.2949
31.8817, 56.4397, 43.5603
32.4044, 45.2354, 54.7646
32.927, 63.7884, 36.2116
33.4497, 46.1292, 53.8708
33.9723, 65.0086, 34.9914
34.495, 50.809, 49.191
35.0176, 57.9216, 42.0784
35.5403, 47.6247, 52.3753
36.063, 52.0102, 47.9898
36.5856, 58.613, 41.387
37.1083, 52.9095, 47.0905
37.6309, 68.6043, 31.3957
38.1536, 51.4876, 48.5124
38.6762, 63.028, 36.972
39.1989, 53.8038, 46.1962
39.7215, 53.8441, 46.1559
40.2442, 37.3644, 62.6356
