Wavelength,Intensity
1268.891319,8
1269.216874,4
1269.542426,8
1269.867975,13
1270.193523,5
1270.519068,11
1270.84461,15
1271.17015,9
1271.495688,36
1271.821223,9
1272.146756,16
1272.472286,6
1272.797814,9
1273.123339,28
1273.448862,21
1273.774382,19
1274.0999,6
1274.425416,11
1274.750929,-1
1275.07644,27
1275.401948,12
1275.727454,14
1276.052957,20
1276.378458,18
1276.703956,7
1277.029452,20
1277.354945,27
1277.680436,12
1278.005925,12
1278.33141,17
1278.656894,21
1278.982375,10
1279.307853,15
1279.633329,14
1279.958803,10
1280.284273,9
1280.609742,19
1280.935208,17
1281.260671,30
1281.586132,12
1281.91159,17
1282.237046,7
1282.5625,10
1282.887951,22
1283.213399,14
1283.538845,28
1283.864288,11
1284.189729,34
1284.515167,14
1284.840602,25
1285.166036,13
1285.491466,7
1285.816894,8
1286.14232,4
1286.467743,10
1286.793163,17
1287.118581,27
1287.443996,38
1287.769409,14
1288.094819,10
1288.420226,17
1288.745631,37
1289.071034,25
1289.396434,22
1289.721831,20
1290.047226,26
1290.372618,10
1290.698007,12
1291.023394,19
1291.348779,25
1291.674161,32
1291.99954,23
1292.324916,22
1292.65029,23
1292.975662,23
1293.301031,30
1293.626397,17
1293.951761,32
1294.277122,19
1294.60248,21
1294.927836,30
1295.253189,20
1295.578539,14
1295.903887,22
1296.229233,22
1296.554575,28
1296.879915,19
1297.205253,21
1297.530587,18
1297.85592,25
1298.181249,26
1298.506576,15
1298.8319,13
1299.157222,28
1299.482541,14
1299.807857,36
1300.133171,14
1300.45848,20
1300.78379,12
1301.109095,24
1301.434398,27
1301.759699,41
1302.084996,18
1302.410291,30
1302.735584,29
1303.060873,30
1303.38616,26
1303.711444,30
1304.036726,15
1304.362005,32
1304.687281,31
1305.012554,21
1305.337825,27
1305.663093,28
1305.988359,15
1306.313622,18
1306.638882,27
1306.964139,33
1307.289393,27
1307.614645,25
1307.939894,33
1308.265141,34
1308.590385,23
1308.915626,28
1309.240864,32
1309.566099,26
1309.891332,35
1310.216562,24
1310.54179,32
1310.867014,20
1311.192236,32
1311.517455,23
1311.842672,47
1312.167885,22
1312.493096,31
1312.818304,30
1313.14351,38
1313.468712,23
1313.793912,26
1314.119109,37
1314.444304,45
1314.769495,22
1315.094684,36
1315.41987,40
1315.745054,35
1316.070234,30
1316.395412,50
1316.720587,20
1317.045759,21
1317.370928,45
1317.696095,38
1318.021259,40
1318.346419,22
1318.671578,35
1318.996733,38
1319.321886,53
1319.647035,41
1319.972182,35
1320.297327,46
1320.622468,35
1320.947606,17
1321.272742,52
1321.597875,43
1321.923005,37
1322.248132,39
1322.573257,37
1322.898379,37
