wavelength;intensity
126889131900623.00;2
126921687357726.00;-17
126954242572956.00;-3
126986797546062.00;4
127019352276794.00;4
1270519067649.00;-1
127084461010132.00;6
127117015012237.00;4
127149568770966.00;5
127182122286068.00;-6
127214675557293.00;8
12724722858439.00;2
127279781367108.00;-3
127312333905198.00;12
127344886198408.00;5
127377438246488.00;-9
127409990049188.00;5
127442541606258.00;-4
127475092917446.00;9
127507643982502.00;5
127540194801176.00;-15
127572745373217.00;1
127605295698375.00;1
1276378457764.00;-6
12767039560704.00;-2
127702945190046.00;17
127735494525167.00;18
127768043612153.00;-5
127800592450752.00;7
127833141040716.00;-5
127865689381792.00;-2
127898237473731.00;3
127930785316283.00;11
127963332909196.00;9
127995880252221.00;4
128028427345107.00;3
128060974187603.00;0
12809352077946.00;10
128126067120426.00;12
128158613210251.00;3
128191159048685.00;2
128223704635478.00;-4
128256249970379.00;-5
128288795053137.00;-9
128321339883502.00;4
128353884461224.00;0
128386428786053.00;-6
128418972857737.00;13
128451516676027.00;2
128484060240672.00;19
128516603551422.00;-1
128549146608026.00;-4
128581689410234.00;9
128614231957795.00;6
12864677425046.00;3
128679316287977.00;-4
128711858070097.00;3
128744399596569.00;5
128776940867142.00;5
128809481881567.00;17
128842022639592.00;7
128874563140968.00;-3
128907103385444.00;14
12893964337277.00;7
128972183102695.00;17
129004722574969.00;-6
129037261789342.00;-8
129069800745563.00;4
129102339443382.00;2
129134877882549.00;13
129167416062813.00;12
129199953983923.00;10
129232491645631.00;14
129265029047684.00;-4
129297566189834.00;10
129330103071829.00;25
129362639693419.00;15
129395176054354.00;-9
129427712154384.00;9
129460247993258.00;9
129492783570726.00;3
129525318886537.00;29
129557853940442.00;5
129590388732189.00;10
12962292326153.00;-9
129655457528212.00;-7
129687991531987.00;3
129720525272604.00;18
129753058749812.00;13
129785591963361.00;9
129818124913.00;10
129850657598481.00;1
129883190019552.00;8
129915722175962.00;10
129948254067463.00;25
129980785693803.00;-1
130013317054732.00;7
13004584815.00;13
130078378979357.00;11
130110909542551.00;27
130143439839335.00;6
130175969869455.00;10
130208499632664.00;23
13024102912871.00;17
130273558357343.00;15
130306087318312.00;20
130338616011368.00;16
130371144436261.00;9
13040367259274.00;13
130436200480554.00;19
130468728099454.00;11
13050125544919.00;22
130533782529511.00;16
130566309340166.00;-9
130598835880907.00;29
130631362151482.00;12
130663888151641.00;2
130696413881134.00;2
130728939339712.00;16
130761464527122.00;8
130793989443117.00;14
130826514087444.00;8
130859038459855.00;14
130891562560099.00;31
130924086387925.00;-1
130956609943084.00;6
130989133225325.00;14
131021656234398.00;20
131054178970053.00;18
13108670143204.00;4
131119223620109.00;9
131151745534009.00;22
131184267173491.00;22
131216788538303.00;5
131249309628197.00;19
131281830442921.00;19
131314350982226.00;28
131346871245862.00;23
131379391233578.00;22
131411910945124.00;15
131444430380251.00;18
131476949538707.00;23
131509468420244.00;25
13154198702461.00;22
131574505351555.00;23
13160702340083.00;12
131639541172185.00;21
131672058665369.00;16
131704575880132.00;28
131737092816224.00;13
131769609473394.00;19
131802125851394.00;30
131834641949973.00;23
13186715776888.00;22
131899673307866.00;22
13193218856668.00;33
131964703545073.00;14
131997218242794.00;13
132029732659593.00;29
13206224679522.00;23
132094760649426.00;18
13212727422196.00;31
132159787512571.00;28
132192300521011.00;28
132224813247028.00;28
132257325690374.00;14
132289837850797.00;33
132322349728048.00;20
132354861321876.00;18
132387372632033.00;22
132419883658267.00;28
132452394400328.00;12
132484904857967.00;29
132517415030934.00;35
132549924918978.00;30
13258243452185.00;31
1326149438393.00;17
132647452871077.00;20
132679961616931.00;24
132712470076613.00;27
132744978249873.00;21
13277748613646.00;17
132809993736125.00;25
132842501048617.00;41
132875008073687.00;32
132907514811085.00;34
