nm, P, As
0, 83.5618, 16.4382
0.50523, 81.9842, 18.0158
1.01046, 80.3104, 19.6896
1.51569, 86.5256, 13.4744
2.02092, 79.1766, 20.8234
2.52615, 83.9762, 16.0238
3.03138, 85.5281, 14.4719
3.53661, 87.5408, 12.4592
4.04184, 76.0643, 23.9357
4.54707, 65.8943, 34.1057
5.0523, 83.6402, 16.3598
5.55753, 78.8371, 21.1629
6.06276, 79.5956, 20.4044
6.56799, 83.2952, 16.7048
7.07322, 81.8471, 18.1529
7.57845, 65.7399, 34.2601
8.08368, 82.2277, 17.7723
8.58891, 84.1155, 15.8845
9.09414, 89.9488, 10.0512
9.59936, 81.8379, 18.1621
10.1046, 84.6301, 15.3699
10.6098, 81.7787, 18.2213
11.1151, 68.8742, 31.1258
11.6203, 75.8204, 24.1796
12.1255, 73.9022, 26.0978
12.6307, 78.7192, 21.2808
13.136, 72.6464, 27.3536
13.6412, 90.5186, 9.48138
14.1464, 89.7241, 10.2759
14.6517, 73.6181, 26.3819
15.1569, 81.4344, 18.5656
15.6621, 76.4318, 23.5682
16.1674, 75.0602, 24.9398
16.6726, 81.2607, 18.7393
17.1778, 83.5005, 16.4995
17.683, 90.5096, 9.49042
18.1883, 84.6816, 15.3184
18.6935, 78.762, 21.238
19.1987, 78.3444, 21.6557
19.704, 83.4825, 16.5175
20.2092, 82.376, 17.624
20.7144, 78.3372, 21.6628
21.2196, 81.6616, 18.3384
21.7249, 72.7123, 27.2877
22.2301, 74.3799, 25.6201
22.7353, 88.559, 11.4411
23.2406, 75.7289, 24.2711
23.7458, 81.0965, 18.9035
24.251, 85.3855, 14.6145
24.7563, 72.1999, 27.8001
25.2615, 77.2369, 22.7631
25.7667, 86.2903, 13.7097
26.2719, 94.6623, 5.33768
26.7772, 85.7776, 14.2224
27.2824, 78.8115, 21.1885
27.7876, 90.1252, 9.8748
28.2929, 87.3504, 12.6496
28.7981, 72.2553, 27.7447
29.3033, 74.1985, 25.8015
29.8086, 82.4531, 17.5469
30.3138, 76.4611, 23.5389
30.819, 84.1614, 15.8386
31.3242, 80.5561, 19.4439
31.8295, 87.0118, 12.9882
32.3347, 83.8115, 16.1885
32.8399, 86.8657, 13.1343
33.3452, 91.9092, 8.09084
33.8504, 76.7699, 23.2302
34.3556, 83.0773, 16.9227
34.8609, 82.688, 17.312
35.3661, 82.3569, 17.6431
35.8713, 80.7408, 19.2592
36.3765, 88.4096, 11.5904
36.8818, 78.2375, 21.7625
37.387, 71.8101, 28.1899
37.8922, 74.0419, 25.9581
38.3975, 87.6828, 12.3172
38.9027, 73.2793, 26.7207
39.4079, 71.9815, 28.0185
39.9131, 72.6429, 27.3571
40.4184, 82.0926, 17.9074
40.9236, 75.9662, 24.0338
41.4288, 71.9488, 28.0512
41.9341, 57.984, 42.016
42.4393, 28.6408, 71.3592
42.9445, 24.6383, 75.3617
