nm,Ga,In,P,As
0,14.8673,85.1327,90.3567,9.64333
0.0627182,0,100,85.7852,14.2148
0.125436,3.59519,96.4048,84.0712,15.9288
0.188155,17.3693,82.6307,85.4862,14.5138
0.250873,9.25115,90.7488,84.3027,15.6973
0.313591,1.40906,98.5909,82.2649,17.7351
0.376309,17.5649,82.4351,76.5914,23.4086
0.439027,0,100,93.3063,6.6937
0.501745,4.72186,95.2781,88.521,11.479
0.564463,0,100,80.5354,19.4646
0.627182,0.130108,99.8699,82.5996,17.4004
0.6899,6.85876,93.1412,91.4557,8.54429
0.752618,6.61828,93.3817,86.0608,13.9392
0.815336,4.1908,95.8092,81.0154,18.9846
0.878054,2.80615,97.1939,80.7116,19.2884
0.940773,3.2367,96.7633,86.9234,13.0766
1.00349,11.9337,88.0663,82.9037,17.0963
1.06621,4.62802,95.372,78.4547,21.5453
1.12893,7.52193,92.4781,86.0372,13.9628
1.19165,12.976,87.024,80.9349,19.0651
1.25436,4.48242,95.5176,79.2194,20.7806
1.31708,1.55659,98.4434,86.7161,13.2839
1.3798,2.14159,97.8584,88.1292,11.8708
1.44252,0.244718,99.7553,85.0186,14.9814
1.50524,0,100,78.7432,21.2568
1.56795,7.59823,92.4018,88.6318,11.3682
1.63067,3.62737,96.3726,89.8139,10.1862
1.69339,4.99448,95.0055,79.5552,20.4448
1.75611,0,100,81.0393,18.9607
1.81883,7.63597,92.364,80.9995,19.0005
1.88155,14.1184,85.8816,89.8969,10.103
1.94426,4.29274,95.7073,81.5649,18.4351
2.00698,0,100,82.0012,17.9988
2.0697,7.35965,92.6404,85.921,14.079
2.13242,6.74264,93.2574,76.5785,23.4215
2.19514,2.83609,97.1639,88.2283,11.7717
2.25785,16.9057,83.0943,80.3581,19.6419
2.32057,0.170696,99.8293,84.6473,15.3527
2.38329,3.38854,96.6115,80.851,19.149
2.44601,6.90581,93.0942,81.0947,18.9053
2.50873,4.06202,95.938,76.4458,23.5542
2.57144,9.89893,90.1011,77.5171,22.4829
2.63416,13.1678,86.8322,81.6464,18.3536
2.69688,3.83367,96.1663,82.7727,17.2273
2.7596,0.40923,99.5908,80.4163,19.5837
2.82232,5.49381,94.5062,82.6916,17.3084
2.88504,13.3971,86.6029,84.4839,15.5161
2.94775,10.043,89.957,87.9008,12.0992
3.01047,9.26873,90.7313,78.9964,21.0036
3.07319,3.12884,96.8712,64.6357,35.3643
3.13591,13.6797,86.3203,72.3527,27.6473
3.19863,6.07287,93.9271,72.7925,27.2075
3.26134,20.3451,79.6549,75.8665,24.1335
3.32406,9.80277,90.1972,71.731,28.269
3.38678,22.4431,77.5569,71.2574,28.7426
3.4495,10.7308,89.2692,65.4624,34.5376
3.51222,6.26127,93.7387,74.8479,25.1521
3.57494,6.84969,93.1503,70.6128,29.3872
3.63765,17.2046,82.7954,67.4957,32.5043
3.70037,9.90883,90.0912,65.601,34.399
3.76309,10.2246,89.7754,58.4709,41.5291
3.82581,15.8254,84.1746,60.7128,39.2872
3.88853,17.6067,82.3933,64.592,35.408
3.95124,10.545,89.455,45.0236,54.9764
4.01396,14.1808,85.8192,55.0346,44.9654
4.07668,19.1307,80.8693,52.9836,47.0164
4.1394,25.2119,74.7881,61.4077,38.5923
4.20212,13.3614,86.6386,45.5554,54.4446
4.26484,8.20778,91.7922,44.8147,55.1853
4.32755,21.679,78.321,39.9303,60.0697
4.39027,30.2135,69.7865,33.2049,66.7951
4.45299,34.687,65.313,36.3654,63.6346
4.51571,18.6121,81.3879,34.1482,65.8518
4.57843,27.7344,72.2656,39.6557,60.3443
4.64114,33.0561,66.9439,38.4623,61.5377
4.70386,30.0395,69.9605,34.3031,65.6969
4.76658,25.4575,74.5425,56.2767,43.7233
4.8293,29.8876,70.1124,31.061,68.939
4.89202,26.8091,73.1909,37.6384,62.3616
4.95474,19.6926,80.3074,37.0129,62.9871
5.01745,26.2596,73.7404,36.9528,63.0472
5.08017,27.2413,72.7587,21.8942,78.1058
5.14289,26.6461,73.354,43.8066,56.1934
5.20561,22.3591,77.6409,27.249,72.751
5.26833,29.4204,70.5796,19.1171,80.8829
5.33104,43.2769,56.7231,39.2753,60.7247
5.39376,26.5507,73.4493,24.7102,75.2898
5.45648,37.572,62.428,35.1465,64.8535
5.5192,30.3863,69.6137,33.3229,66.677
5.58192,28.9998,71.0002,25.1532,74.8468
5.64464,42.2246,57.7754,29.2722,70.7278
5.70735,29.0521,70.9479,18.8725,81.1275
5.77007,25.6758,74.3242,41.9066,58.0934
5.83279,32.9556,67.0444,25.3949,74.6051
5.89551,27.0713,72.9287,38.0777,61.9223
