wavelength, intensity
1268.8913190062300, 2
1269.2168735772600, -17
1269.5424257295600, -3
1269.8679754606200, 4
1270.1935227679400, 4
1270.51906764900, -1
1270.8446101013200, 6
1271.1701501223700, 4
1271.4956877096600, 5
1271.8212228606800, -6
1272.1467555729300, 8
1272.472285843900, 2
1272.7978136710800, -3
1273.1233390519800, 12
1273.4488619840800, 5
1273.7743824648800, -9
1274.0999004918800, 5
1274.4254160625800, -4
1274.7509291744600, 9
1275.0764398250200, 5
1275.4019480117600, -15
1275.7274537321700, 1
1276.0529569837500, 1
1276.37845776400, -6
1276.703956070400, -2
1277.0294519004600, 17
1277.3549452516700, 18
1277.6804361215300, -5
1278.0059245075200, 7
1278.3314104071600, -5
1278.6568938179200, -2
1278.9823747373100, 3
1279.3078531628300, 11
1279.6333290919600, 9
1279.9588025222100, 4
1280.2842734510700, 3
1280.6097418760300, 0
1280.935207794600, 10
1281.2606712042600, 12
1281.5861321025100, 3
1281.9115904868500, 2
1282.2370463547800, -4
1282.5624997037900, -5
1282.8879505313700, -9
1283.2133988350200, 4
1283.5388446122400, 0
1283.8642878605300, -6
1284.1897285773700, 13
1284.5151667602700, 2
1284.8406024067200, 19
1285.1660355142200, -1
1285.4914660802600, -4
1285.8168941023400, 9
1286.1423195779500, 6
1286.467742504600, 3
1286.7931628797700, -4
1287.1185807009700, 3
1287.4439959656900, 5
1287.7694086714200, 5
1288.0948188156700, 17
1288.4202263959200, 7
1288.7456314096800, -3
1289.0710338544400, 14
1289.396433727700, 7
1289.7218310269500, 17
1290.0472257496900, -6
1290.3726178934200, -8
1290.6980074556300, 4
1291.0233944338200, 2
1291.3487788254900, 13
1291.6741606281300, 12
1291.9995398392300, 10
1292.3249164563100, 14
1292.6502904768400, -4
1292.9756618983400, 10
1293.3010307182900, 25
1293.6263969341900, 15
1293.9517605435400, -9
1294.2771215438400, 9
1294.6024799325800, 9
1294.9278357072600, 3
1295.2531888653700, 29
1295.5785394044200, 5
1295.9038873218900, 10
1296.229232615300, -9
1296.5545752821200, -7
1296.8799153198700, 3
1297.2052527260400, 18
1297.5305874981200, 13
1297.8559196336100, 9
1298.1812491300, 10
1298.5065759848100, 1
1298.8319001955200, 8
1299.1572217596200, 10
1299.4825406746300, 25
1299.8078569380300, -1
1300.1331705473200, 7
1300.458481500, 13
1300.7837897935700, 11
1301.1090954255100, 27
1301.4343983933500, 6
1301.7596986945500, 10
1302.0849963266400, 23
1302.410291287100, 17
1302.7355835734300, 15
1303.0608731831200, 20
1303.3861601136800, 16
1303.7114443626100, 9
1304.036725927400, 13
1304.3620048055400, 19
1304.6872809945400, 11
1305.012554491900, 22
1305.3378252951100, 16
1305.6630934016600, -9
1305.9883588090700, 29
1306.3136215148200, 12
1306.6388815164100, 2
1306.9641388113400, 2
1307.2893933971200, 16
1307.6146452712200, 8
1307.9398944311700, 14
1308.2651408744400, 8
1308.5903845985500, 14
1308.9156256009900, 31
1309.2408638792500, -1
1309.5660994308400, 6
1309.8913322532500, 14
1310.2165623439800, 20
1310.5417897005300, 18
1310.867014320400, 4
1311.1922362010900, 9
1311.5174553400900, 22
1311.8426717349100, 22
1312.1678853830300, 5
1312.4930962819700, 19
1312.8183044292100, 19
1313.1435098222600, 28
1313.4687124586200, 23
1313.7939123357800, 22
1314.1191094512400, 15
1314.4443038025100, 18
1314.7694953870700, 23
1315.0946842024400, 25
1315.419870246100, 22
1315.7450535155500, 23
1316.070234008300, 12
1316.3954117218500, 21
1316.7205866536900, 16
1317.0457588013200, 28
1317.3709281622400, 13
1317.6960947339400, 19
1318.0212585139400, 30
1318.3464194997300, 23
1318.671577688800, 22
1318.9967330786600, 22
1319.321885666800, 33
1319.6470354507300, 14
1319.9721824279400, 13
1320.2973265959300, 29
