nm,Ga,In
0,8.73432,91.2657
0.522651,0,100
1.0453,8.76115,91.2389
1.56795,0,100
2.09061,1.83705,98.1629
2.61326,11.2159,88.7841
3.13591,4.95177,95.0482
3.65856,2.49612,97.5039
4.18121,0,100
4.70386,3.48299,96.517
5.22651,4.38388,95.6161
5.74917,0,100
6.27182,0,100
6.79447,0,100
7.31712,10.458,89.542
7.83977,0,100
8.36242,9.34854,90.6515
8.88507,16.6463,83.3537
9.40773,0.76225,99.2377
9.93038,2.81867,97.1813
10.453,6.69916,93.3008
10.9757,3.353,96.647
11.4983,2.03363,97.9664
12.021,11.9164,88.0836
12.5436,0.526367,99.4736
13.0663,11.9534,88.0466
13.5889,6.42197,93.578
14.1116,6.8395,93.1605
14.6342,0,100
15.1569,8.89116,91.1088
15.6795,13.9096,86.0903
16.2022,0,100
16.7248,9.22973,90.7703
17.2475,0.693247,99.3068
17.7701,0,100
18.2928,0,100
18.8155,0,100
19.3381,0,100
19.8608,0.97498,99.025
20.3834,9.13607,90.8639
20.9061,0,100
21.4287,15.7612,84.2388
21.9514,15.1257,84.8743
22.474,0,100
22.9967,17.1128,82.8872
23.5193,10.3338,89.6662
24.042,5.33112,94.6689
24.5646,10.0849,89.9152
25.0873,6.87553,93.1245
25.6099,7.22471,92.7753
26.1326,11.1924,88.8076
26.6552,10.8489,89.1511
27.1779,2.79942,97.2006
27.7005,21.8742,78.1258
28.2232,14.6141,85.3859
28.7458,22.3838,77.6162
29.2685,36.712,63.288
29.7911,27.857,72.143
30.3138,38.704,61.296
30.8364,30.6705,69.3295
31.3591,51.7633,48.2367
31.8817,36.0468,63.9532
32.4044,39.1133,60.8867
32.927,16.4728,83.5272
33.4497,26.6968,73.3032
33.9723,15.5119,84.4881
34.495,11.1903,88.8097
35.0176,9.37066,90.6293
35.5403,19.4034,80.5966
36.063,8.90147,91.0985
36.5856,26.0013,73.9987
37.1083,14.0805,85.9195
37.6309,0,100
38.1536,18.1675,81.8325
38.6762,15.4587,84.5413
39.1989,8.38313,91.6169
39.7215,5.7547,94.2453
40.2442,3.07823,96.9218
40.7668,8.50456,91.4954
41.2895,4.7881,95.2119
41.8121,12.5606,87.4394
42.3348,11.8459,88.1541
42.8574,7.13218,92.8678
43.3801,9.80747,90.1925
43.9027,9.78428,90.2157
44.4254,11.7108,88.2892
44.948,14.7262,85.2738
45.4707,12.5179,87.4821
45.9933,1.55483,98.4452
46.516,5.37842,94.6216
47.0386,6.65738,93.3426
47.5613,3.52206,96.4779
48.0839,8.17193,91.8281
48.6066,9.3068,90.6932
49.1292,20.979,79.021
49.6519,5.88166,94.1183
50.1745,8.51587,91.4841
50.6972,1.35896,98.641
51.2198,7.22596,92.774
51.7425,14.5609,85.4391
52.2651,14.8899,85.1101
52.7878,14.1276,85.8724
53.3104,10.3351,89.6649
53.8331,8.96722,91.0328
54.3558,12.6705,87.3295
54.8784,0,100
55.4011,5.54557,94.4544
55.9237,1.73813,98.2619
56.4464,12.6627,87.3373
56.969,7.64111,92.3589
57.4917,7.89256,92.1074
58.0143,15.8618,84.1382
58.537,0.692937,99.3071
59.0596,11.6515,88.3485
59.5823,3.51646,96.4835
60.1049,15.1575,84.8425
60.6276,9.78114,90.2189
61.1502,3.07355,96.9265
61.6729,4.26466,95.7353
62.1955,4.32871,95.6713
62.7182,0,100
63.2408,5.91025,94.0898
63.7635,6.49457,93.5054
64.2861,7.97139,92.0286
64.8088,15.7534,84.2466
65.3314,12.0741,87.9259
65.8541,1.56427,98.4357
66.3767,6.48128,93.5187
66.8994,7.79918,92.2008
67.422,2.61813,97.3819
67.9447,8.75304,91.247
68.4673,3.99427,96.0057
68.99,3.57087,96.4291
69.5126,0,100
70.0353,9.77722,90.2228
70.5579,9.85949,90.1405
71.0806,15.0758,84.9242
71.6032,1.99072,98.0093
72.1259,19.6176,80.3824
72.6486,14.8042,85.1958
73.1712,11.6773,88.3227
73.6939,20.3427,79.6573
74.2165,36.298,63.702
74.7392,39.2832,60.7168
75.2618,38.2503,61.7497
75.7845,32.0332,67.9668
76.3071,34.2538,65.7462
76.8298,48.7116,51.2884
77.3524,43.2548,56.7452
77.8751,28.5427,71.4573
78.3977,21.34,78.66
78.9204,18.2322,81.7678
79.443,18.5897,81.4103
79.9657,18.1111,81.8889
80.4883,11.6937,88.3063
81.011,14.4181,85.5819
81.5336,15.031,84.969
82.0563,10.6068,89.3932
82.5789,4.93042,95.0696
83.1016,4.96928,95.0307
83.6242,12.3095,87.6905
84.1469,14.8182,85.1818
84.6695,4.80446,95.1955
85.1922,0,100
85.7148,2.55579,97.4442
86.2375,8.75712,91.2429
86.7601,8.42546,91.5745
87.2828,1.96347,98.0365
87.8054,9.59636,90.4036
88.3281,12.0912,87.9088
88.8507,12.5548,87.4452
89.3734,16.7126,83.2874
89.896,11.2232,88.7768
90.4187,8.60468,91.3953
90.9414,7.24715,92.7528
91.464,11.4719,88.5281
91.9866,11.9273,88.0727
92.5093,0,100
93.032,2.61954,97.3805
93.5546,0,100
94.0773,0.723039,99.277
94.5999,0,100
95.1226,9.15704,90.843
95.6452,9.72412,90.2759
96.1679,7.81168,92.1883
96.6905,8.5085,91.4915
97.2132,5.48376,94.5162
97.7358,19.6521,80.3479
98.2585,5.22253,94.7775
98.7811,3.93206,96.0679
99.3038,8.77641,91.2236
99.8264,7.03886,92.9611
100.349,7.72284,92.2772
100.872,0,100
101.394,0,100
101.917,5.26521,94.7348
102.44,2.99768,97.0023
102.962,4.94727,95.0527
103.485,3.82554,96.1745
104.008,4.57289,95.4271
104.53,9.9285,90.0715
105.053,10.4056,89.5944
105.576,8.34507,91.6549
106.098,10.6534,89.3466
106.621,8.04883,91.9512
107.144,3.23182,96.7682
107.666,3.91909,96.0809
108.189,12.4242,87.5758
108.712,17.1191,82.8809
109.234,17.7927,82.2073
109.757,9.27711,90.7229
110.279,3.27672,96.7233
110.802,17.1586,82.8414
111.325,10.4667,89.5333
111.847,3.50452,96.4955
112.37,13.5978,86.4022
112.893,10.4366,89.5634
113.415,11.073,88.927
113.938,2.01183,97.9882
114.461,6.62562,93.3744
114.983,10.4081,89.5919
115.506,11.9813,88.0187
116.029,0.444745,99.5553
116.551,4.95387,95.0461
117.074,8.8555,91.1445
117.597,10.9069,89.0931
118.119,19.1855,80.8145
118.642,5.01794,94.9821
119.165,14.2099,85.7901
119.687,26.8586,73.1414
120.21,29.0692,70.9308
120.732,39.9674,60.0326
121.255,36.5917,63.4083
121.778,43.0962,56.9038
122.3,46.7683,53.2317
122.823,37.6132,62.3868
123.346,21.6029,78.3971
123.868,19.2166,80.7834
124.391,16.6944,83.3056
124.914,7.43134,92.5687
125.436,2.62948,97.3705
125.959,10.5313,89.4687
126.482,7.0298,92.9702
127.004,13.6937,86.3063
127.527,9.23436,90.7656
128.05,9.58418,90.4158
128.572,11.4165,88.5835
129.095,2.53928,97.4607
129.618,7.05375,92.9463
130.14,18.1312,81.8688
130.663,7.47817,92.5218
131.186,3.335,96.665
131.708,9.83918,90.1608
132.231,9.30467,90.6953
132.753,4.20739,95.7926
133.276,9.90172,90.0983
133.799,3.15595,96.844
