nm,P,As
0,94.0738,5.9262
0.522651,97.9525,2.04752
1.0453,91.8235,8.17654
1.56795,91.742,8.25801
2.09061,87.0003,12.9997
2.61326,95.9575,4.04255
3.13591,95.9431,4.05688
3.65856,97.4796,2.52037
4.18121,96.0984,3.90165
4.70386,94.5925,5.40749
5.22651,96.0115,3.98848
5.74917,97.743,2.25703
6.27182,97.9718,2.02819
6.79447,98.3707,1.62932
7.31712,99.3565,0.643545
7.83977,96.8221,3.17792
8.36242,94.8481,5.15188
8.88507,96.9469,3.05309
9.40773,97.163,2.83702
9.93038,98.4072,1.59283
10.453,98.0353,1.96469
10.9757,96.6397,3.36034
11.4983,96.5627,3.43732
12.021,92.3,7.70005
12.5436,96.332,3.66796
13.0663,97.8565,2.14351
13.5889,93.8357,6.16432
14.1116,89.7309,10.2691
14.6342,95.4719,4.52815
15.1569,97.0372,2.96279
15.6795,95.7781,4.22185
16.2022,92.7981,7.20194
16.7248,96.8509,3.14908
17.2475,97.4551,2.54495
17.7701,92.4146,7.58542
18.2928,96.5224,3.47764
18.8155,95.7621,4.23789
19.3381,94.6485,5.35155
19.8608,99.4164,0.583645
20.3834,94.782,5.21801
20.9061,95.0171,4.98293
21.4287,91.064,8.93604
21.9514,88.3497,11.6503
22.474,94.8068,5.19324
22.9967,94.8863,5.11369
23.5193,96.3432,3.65684
24.042,95.9593,4.04073
24.5646,91.6365,8.36352
25.0873,95.8447,4.15535
25.6099,89.7195,10.2805
26.1326,82.6914,17.3086
26.6552,93.1704,6.82961
27.1779,83.7674,16.2326
27.7005,82.8824,17.1176
28.2232,77.2029,22.7971
28.7458,68.1494,31.8506
29.2685,50.941,49.059
29.7911,36.9826,63.0174
30.3138,39.2722,60.7278
30.8364,33.7129,66.2871
31.3591,28.3173,71.6827
31.8817,37.3355,62.6645
32.4044,36.7835,63.2165
32.927,60.5399,39.4601
33.4497,75.9053,24.0947
33.9723,76.8389,23.1611
34.495,79.3308,20.6692
35.0176,76.2194,23.7806
35.5403,79.8399,20.1601
36.063,88.2479,11.7521
36.5856,78.5349,21.4651
37.1083,87.6632,12.3368
37.6309,84.4058,15.5942
38.1536,95.4771,4.52286
38.6762,85.9395,14.0605
39.1989,89.2496,10.7503
39.7215,85.1876,14.8124
40.2442,82.0062,17.9938
40.7668,89.8223,10.1777
41.2895,83.7339,16.2661
41.8121,84.5897,15.4103
42.3348,88.4924,11.5076
42.8574,86.3671,13.633
43.3801,87.2851,12.7149
43.9027,85.0499,14.9501
44.4254,87.761,12.239
44.948,89.6832,10.3168
45.4707,94.3015,5.69848
45.9933,92.0769,7.92313
46.516,90.5722,9.42781
47.0386,91.4838,8.51615
47.5613,80.0314,19.9685
48.0839,91.0094,8.99057
48.6066,88.7928,11.2072
49.1292,86.452,13.548
49.6519,90.8038,9.19622
50.1745,92.4656,7.53438
50.6972,87.8201,12.1799
51.2198,91.3595,8.64048
51.7425,92.9049,7.09511
52.2651,88.0531,11.9469
52.7878,85.4571,14.5429
53.3104,89.7107,10.2893
53.8331,90.1903,9.80972
54.3558,87.2256,12.7744
54.8784,95.4968,4.50321
55.4011,89.4258,10.5742
55.9237,90.2836,9.71639
56.4464,87.1816,12.8184
56.969,94.4301,5.56986
57.4917,96.0928,3.90716
58.0143,89.0153,10.9848
58.537,94.4386,5.56137
59.0596,92.3629,7.63709
59.5823,87.1495,12.8505
60.1049,91.4958,8.50416
60.6276,94.7776,5.22241
61.1502,96.0547,3.94529
61.6729,92.4386,7.56139
62.1955,92.1378,7.86224
62.7182,89.9251,10.0749
63.2408,89.1066,10.8934
63.7635,88.9511,11.0489
64.2861,92.5837,7.41631
64.8088,91.5665,8.43348
65.3314,91.4305,8.56951
65.8541,93.0683,6.93174
66.3767,83.252,16.748
66.8994,94.6454,5.35464
67.422,92.1453,7.85467
67.9447,95.2951,4.70495
68.4673,91.3661,8.63388
68.99,91.8695,8.13046
69.5126,90.8463,9.15368
70.0353,90.6493,9.35066
70.5579,90.7678,9.23218
71.0806,84.729,15.271
71.6032,83.4239,16.5761
72.1259,84.6121,15.3879
72.6486,81.4503,18.5497
73.1712,85.5747,14.4253
73.6939,61.2421,38.7579
74.2165,56.3666,43.6334
74.7392,50.4317,49.5683
75.2618,51.4591,48.5409
75.7845,40.5317,59.4683
76.3071,44.8602,55.1398
76.8298,47.9495,52.0505
77.3524,55.5773,44.4227
77.8751,64.7675,35.2325
78.3977,73.1493,26.8507
78.9204,70.3377,29.6623
79.443,72.4661,27.5339
79.9657,73.0227,26.9773
80.4883,73.2318,26.7682
81.011,80.8361,19.1639
81.5336,81.1369,18.8631
82.0563,82.7787,17.2213
82.5789,81.602,18.398
83.1016,82.5765,17.4235
83.6242,85.5797,14.4204
84.1469,81.5257,18.4743
84.6695,86.8832,13.1168
85.1922,92.615,7.38496
85.7148,87.647,12.353
86.2375,84.3287,15.6713
86.7601,87.0111,12.9889
87.2828,86.6524,13.3476
87.8054,86.8316,13.1684
88.3281,87.7951,12.2049
88.8507,92.4866,7.51338
89.3734,93.6666,6.33338
89.896,84.6643,15.3357
90.4187,85.6377,14.3623
90.9414,88.6492,11.3508
91.464,89.7922,10.2078
91.9866,84.1674,15.8326
92.5093,84.681,15.319
93.032,86.5042,13.4958
93.5546,91.4522,8.54781
94.0773,92.2654,7.73464
94.5999,86.1008,13.8992
95.1226,94.1116,5.88841
95.6452,89.2888,10.7112
96.1679,88.7612,11.2388
96.6905,91.4265,8.57346
97.2132,88.7417,11.2583
97.7358,96.1931,3.80692
98.2585,89.8522,10.1478
98.7811,95.7129,4.28708
99.3038,87.3949,12.6051
99.8264,91.3392,8.6608
100.349,91.9622,8.03777
100.872,87.6124,12.3876
101.394,95.1127,4.88726
101.917,92.2729,7.72714
102.44,88.0051,11.9949
102.962,89.2978,10.7022
103.485,86.744,13.256
104.008,87.8179,12.182
104.53,89.118,10.882
105.053,94.9423,5.05768
105.576,90.6469,9.35306
106.098,89.6864,10.3136
106.621,91.812,8.18798
107.144,92.5352,7.46479
107.666,88.7574,11.2426
108.189,91.2635,8.73648
108.712,94.9906,5.00942
109.234,90.5187,9.48129
109.757,92.9328,7.06723
110.279,91.8162,8.18382
110.802,89.5036,10.4964
111.325,98.1705,1.82951
111.847,94.8546,5.14538
112.37,86.5827,13.4173
112.893,93.3569,6.64305
113.415,90.0391,9.96094
113.938,91.9964,8.00364
114.461,85.6161,14.3839
114.983,88.1296,11.8704
115.506,85.3303,14.6697
116.029,87.6568,12.3432
116.551,88.9204,11.0796
117.074,87.5818,12.4182
117.597,81.2407,18.7593
118.119,71.5829,28.4171
118.642,80.1104,19.8896
119.165,62.0243,37.9757
119.687,56.2904,43.7096
120.21,29.5631,70.4369
120.732,42.6786,57.3214
121.255,28.3208,71.6792
121.778,22.2507,77.7493
122.3,19.9564,80.0436
122.823,43.2234,56.7766
123.346,71.4986,28.5014
123.868,59.633,40.367
124.391,79.1564,20.8436
124.914,77.223,22.777
125.436,74.3578,25.6422
125.959,81.1602,18.8398
126.482,83.5725,16.4275
127.004,80.5402,19.4598
127.527,78.9521,21.0479
128.05,75.5218,24.4782
128.572,84.339,15.661
129.095,86.7248,13.2752
129.618,84.9355,15.0645
130.14,81.0981,18.9019
130.663,87.6608,12.3392
131.186,90.4277,9.5723
131.708,91.4929,8.50708
132.231,84.5011,15.4989
132.753,90.3393,9.66068
133.276,87.6161,12.3839
133.799,90.9918,9.00816
134.321,91.7054,8.29462
