nm, Ga, In
0, 6.51598, 93.484
0.10453, 12.6465, 87.3535
0.209061, 6.06118, 93.9388
0.313591, 10.6535, 89.3465
0.418121, 9.49576, 90.5042
0.522651, 11.4276, 88.5724
0.627182, 13.923, 86.077
0.731712, 9.75602, 90.244
0.836242, 13.7027, 86.2973
0.940772, 11.9544, 88.0456
1.0453, 3.90902, 96.091
1.14983, 12.3667, 87.6333
1.25436, 10.3512, 89.6488
1.35889, 12.4727, 87.5274
1.46342, 13.643, 86.357
1.56795, 14.7962, 85.2038
1.67248, 8.10032, 91.8997
1.77701, 12.4432, 87.5568
1.88154, 8.87522, 91.1248
1.98608, 17.4226, 82.5774
2.09061, 13.3765, 86.6235
2.19514, 14.4436, 85.5564
2.29967, 12.1084, 87.8916
2.4042, 10.0834, 89.9166
2.50873, 7.1479, 92.8521
2.61326, 10.9768, 89.0232
2.71779, 8.68875, 91.3112
2.82232, 15.7636, 84.2364
2.92685, 10.0234, 89.9766
3.03138, 15.5143, 84.4857
3.13591, 12.6805, 87.3195
3.24044, 12.4762, 87.5238
3.34497, 9.19237, 90.8076
3.4495, 13.5266, 86.4734
3.55403, 0.551866, 99.4481
3.65856, 10.7724, 89.2276
3.76309, 10.1246, 89.8754
3.86762, 6.7864, 93.2136
3.97215, 14.2563, 85.7437
4.07668, 1.58491, 98.4151
4.18121, 6.20183, 93.7982
4.28574, 11.3295, 88.6705
4.39027, 9.10108, 90.8989
4.4948, 8.61965, 91.3803
4.59933, 15.5948, 84.4052
4.70386, 16.8499, 83.1501
4.80839, 14.8108, 85.1892
4.91292, 10.3544, 89.6457
5.01745, 14.6412, 85.3588
5.12198, 8.51492, 91.4851
5.22651, 7.39863, 92.6014
5.33104, 12.5942, 87.4058
5.43557, 5.92063, 94.0794
5.5401, 14.6095, 85.3905
5.64463, 1.24784, 98.7522
5.74917, 1.16403, 98.836
5.8537, 13.4446, 86.5554
5.95823, 11.3401, 88.6599
6.06276, 10.8671, 89.1329
6.16729, 16.1819, 83.8181
6.27182, 8.81765, 91.1824
6.37635, 12.7446, 87.2554
6.48088, 8.81692, 91.1831
6.58541, 8.91505, 91.085
6.68994, 5.49087, 94.5091
6.79447, 20.6288, 79.3712
6.899, 16.0782, 83.9218
7.00353, 19.1917, 80.8083
7.10806, 22.9568, 77.0432
7.21259, 16.1781, 83.8219
7.31712, 21.3344, 78.6656
7.42165, 8.81615, 91.1839
7.52618, 29.1236, 70.8764
7.63071, 14.8991, 85.1009
7.73524, 16.1391, 83.8609
7.83977, 16.3422, 83.6578
7.9443, 21.6088, 78.3912
8.04883, 21.4437, 78.5563
8.15336, 27.914, 72.086
8.25789, 15.961, 84.039
8.36242, 29.0509, 70.9491
8.46695, 21.6957, 78.3043
8.57148, 19.8078, 80.1922
8.67601, 19.0169, 80.9831
8.78054, 17.0797, 82.9203
8.88507, 26.3937, 73.6063
8.9896, 27.2988, 72.7012
9.09413, 26.2426, 73.7574
9.19866, 25.2593, 74.7407
9.30319, 21.0356, 78.9644
9.40772, 35.6395, 64.3605
9.51225, 36.4147, 63.5853
9.61679, 33.9708, 66.0292
9.72132, 22.2941, 77.7059
9.82585, 31.1321, 68.8679
9.93038, 30.0599, 69.9401
10.0349, 37.4443, 62.5557
10.1394, 28.9839, 71.0161
10.244, 16.8718, 83.1282
10.3485, 28.0717, 71.9283
10.453, 33.3841, 66.6159
10.5576, 30.6845, 69.3155
10.6621, 31.051, 68.949
10.7666, 26.3472, 73.6528
10.8711, 32.54, 67.46
10.9757, 33.1833, 66.8167
11.0802, 26.1875, 73.8125
11.1847, 33.1917, 66.8083
11.2893, 28.7306, 71.2694
11.3938, 40.2827, 59.7173
11.4983, 37.9766, 62.0234
11.6029, 29.2929, 70.7071
11.7074, 37.5342, 62.4658
11.8119, 27.547, 72.453
11.9165, 29.6018, 70.3982
12.021, 30.2259, 69.7741
12.1255, 34.3413, 65.6587
12.23, 29.7616, 70.2384
12.3346, 29.8309, 70.1691
12.4391, 35.4574, 64.5426
12.5436, 27.6883, 72.3117
12.6482, 35.0648, 64.9352
12.7527, 34.7492, 65.2508
12.8572, 26.7029, 73.2971
12.9618, 31.3156, 68.6844
13.0663, 25.3314, 74.6686
13.1708, 27.8614, 72.1386
13.2753, 27.8003, 72.1997
13.3799, 24.7932, 75.2068
13.4844, 30.5683, 69.4317
13.5889, 34.0551, 65.9449
13.6935, 26.8886, 73.1114
13.798, 22.2591, 77.7409
13.9025, 25.1613, 74.8388
14.0071, 31.1298, 68.8702
14.1116, 29.633, 70.367
14.2161, 34.7239, 65.2761
14.3206, 26.0671, 73.9329
14.4252, 26.3677, 73.6323
14.5297, 42.0371, 57.9629
14.6342, 27.3716, 72.6284
14.7388, 30.8141, 69.1859
14.8433, 29.3241, 70.6759
14.9478, 29.891, 70.109
15.0524, 29.2692, 70.7308
15.1569, 37.6985, 62.3015
15.2614, 37.629, 62.371
15.366, 32.8806, 67.1194
15.4705, 28.1179, 71.8821
15.575, 34.9436, 65.0564
15.6795, 27.8667, 72.1333
15.7841, 37.3742, 62.6258
15.8886, 25.1096, 74.8904
15.9931, 26.8155, 73.1845
16.0977, 29.9079, 70.0921
16.2022, 33.6072, 66.3928
16.3067, 21.1397, 78.8603
16.4113, 26.7985, 73.2015
16.5158, 30.7136, 69.2864
16.6203, 17.1474, 82.8526
16.7248, 25.7695, 74.2305
16.8294, 25.4696, 74.5304
16.9339, 26.9197, 73.0803
17.0384, 32.4477, 67.5523
17.143, 23.4887, 76.5113
17.2475, 21.3243, 78.6757
17.352, 23.4017, 76.5983
17.4566, 17.3543, 82.6457
17.5611, 14.0162, 85.9838
17.6656, 25.0208, 74.9791
17.7701, 21.0325, 78.9675
17.8747, 15.0802, 84.9198
17.9792, 21.1002, 78.8998
18.0837, 16.1219, 83.8781
18.1883, 24.6669, 75.3331
18.2928, 17.4755, 82.5245
18.3973, 16.577, 83.423
18.5019, 20.9689, 79.0311
18.6064, 23.0469, 76.9531
18.7109, 9.61978, 90.3802
18.8154, 11.39, 88.61
18.92, 12.0075, 87.9925
19.0245, 12.9692, 87.0308
19.129, 12.4707, 87.5293
19.2336, 12.4294, 87.5706
19.3381, 24.7764, 75.2236
19.4426, 14.6126, 85.3874
19.5472, 26.7789, 73.2211
19.6517, 16.2044, 83.7956
19.7562, 19.9996, 80.0004
19.8608, 16.0531, 83.9469
19.9653, 17.0076, 82.9924
20.0698, 18.7038, 81.2962
20.1743, 19.5102, 80.4898
20.2789, 12.1015, 87.8985
20.3834, 16.694, 83.306
20.4879, 7.49124, 92.5088
20.5925, 13.1448, 86.8552
20.697, 8.40946, 91.5905
20.8015, 12.3227, 87.6773
20.9061, 10.9184, 89.0816
21.0106, 16.9819, 83.0181
21.1151, 12.4173, 87.5827
21.2196, 22.8178, 77.1822
21.3242, 14.0322, 85.9678
21.4287, 18.2508, 81.7492
21.5332, 13.6011, 86.3989
21.6378, 12.6869, 87.3131
