nm, P, As
0, 60.9385, 39.0615
0.10453, 51.8779, 48.1221
0.209061, 63.2893, 36.7107
0.313591, 66.9335, 33.0665
0.418121, 60.9074, 39.0926
0.522651, 49.8941, 50.1059
0.627182, 59.0201, 40.9799
0.731712, 63.1907, 36.8093
0.836242, 68.3985, 31.6015
0.940772, 40.753, 59.247
1.0453, 52.6007, 47.3993
1.14983, 39.6296, 60.3704
1.25436, 56.7486, 43.2514
1.35889, 56.3131, 43.6869
1.46342, 67.1158, 32.8842
1.56795, 67.9659, 32.0341
1.67248, 55.5301, 44.4699
1.77701, 61.7667, 38.2333
1.88154, 72.2195, 27.7805
1.98608, 56.2905, 43.7095
2.09061, 52.4082, 47.5918
2.19514, 60.0357, 39.9643
2.29967, 60.2271, 39.7729
2.4042, 48.1933, 51.8067
2.50873, 54.0892, 45.9108
2.61326, 54.1856, 45.8144
2.71779, 45.8849, 54.1151
2.82232, 63.606, 36.394
2.92685, 50.0914, 49.9086
3.03138, 61.4436, 38.5564
3.13591, 66.7068, 33.2932
3.24044, 63.5854, 36.4146
3.34497, 58.4055, 41.5945
3.4495, 58.7264, 41.2736
3.55403, 56.0281, 43.9719
3.65856, 50.7194, 49.2806
3.76309, 51.6663, 48.3337
3.86762, 49.2731, 50.7269
3.97215, 54.5474, 45.4526
4.07668, 64.5005, 35.4995
4.18121, 65.8238, 34.1762
4.28574, 52.3497, 47.6503
4.39027, 49.3799, 50.6201
4.4948, 72.4615, 27.5385
4.59933, 43.8683, 56.1317
4.70386, 36.7516, 63.2484
4.80839, 56.7322, 43.2678
4.91292, 68.4423, 31.5577
5.01745, 45.4136, 54.5864
5.12198, 55.7339, 44.2661
5.22651, 47.6267, 52.3733
5.33104, 32.2072, 67.7928
5.43557, 40.6013, 59.3987
5.5401, 38.1257, 61.8743
5.64463, 54.1587, 45.8413
5.74917, 44.5672, 55.4328
5.8537, 36.0373, 63.9627
5.95823, 47.6658, 52.3342
6.06276, 41.4211, 58.5789
6.16729, 48.1823, 51.8177
6.27182, 63.5181, 36.4819
6.37635, 47.2117, 52.7883
6.48088, 40.3678, 59.6322
6.58541, 36.948, 63.052
6.68994, 45.8897, 54.1103
6.79447, 46.9545, 53.0455
6.899, 37.3609, 62.6391
7.00353, 32.2661, 67.7339
7.10806, 28.1093, 71.8907
7.21259, 29.5014, 70.4986
7.31712, 32.5265, 67.4735
7.42165, 21.9077, 78.0923
7.52618, 30.8774, 69.1226
7.63071, 30.9312, 69.0688
7.73524, 14.7819, 85.2181
7.83977, 21.1229, 78.8771
